full_name,Faction,date_time,,,,
Кличко Віталій Володимирович,Мер,23/07/2024,,,,
Андрусишин Володимир Йосифович,ЄС,23/07/2024,,,,
Артеменко Сергій Вікторович,ЄС,23/07/2024,,,,
Баленко Ігор Миколайович,ЄС,23/07/2024,,,,
Баняс Юлія Володимирівна,ЄС,23/07/2024,,,,
Бойченко Павло Іванович,ЄС,23/07/2024,,,,
Габібуллаєва Дінара Тарлан,ЄС,23/07/2024,,,,
Ємець Леонід Олександрович,ЄС,23/07/2024,,,,
Задерейко Андрій Іванович,ЄС,23/07/2024,,,,
Ковалевська Людмила Олександрівна,ЄС,23/07/2024,,,,
Криворучко Тарас Григорович,ЄС,23/07/2024,,,,
Кухарський Максим Анатолійович,ЄС,23/07/2024,,,,
Левін Володимир Ілліч,ЄС,23/07/2024,,,,
Левченко Олег Анатолійович,ЄС,23/07/2024,,,,
Любченко Денис Олегович,ЄС,23/07/2024,,,,
Міщенко Олександр Григорович,ЄС,23/07/2024,,,,
Окопний Олексій Юрійович,ЄС,23/07/2024,,,,
Пастухова Наталія Юзьківна,ЄС,23/07/2024,,,,
Погребиський Олександр Ігорович,ЄС,23/07/2024,,,,
Порошенко Марина Анатоліївна,ЄС,23/07/2024,,,,
Прокопів Володимир Володимирович,ЄС,23/07/2024,,,,
Пташник Вікторія Юріївна,ЄС,23/07/2024,,,,
Сікліцький Борис Віталійович,ЄС,23/07/2024,,,,
Сторожук Вадим Павлович,ЄС,23/07/2024,,,,
Супрун Олександр Сергійович,ЄС,23/07/2024,,,,
Тимченко Олександр Сергійович,ЄС,23/07/2024,,,,
Тихонович Юрій Станіславович,ЄС,23/07/2024,,,,
Турець Владислав Володимирович,ЄС,23/07/2024,,,,
Усов Костянтин Глібович,ЄС,23/07/2024,,,,
Хацевич Ігор Мирославович,ЄС,23/07/2024,,,,
Чайка Ольга Юріївна,ЄС,23/07/2024,,,,
Ясинський Георгій Ігорович,ЄС,23/07/2024,,,,
Андронов Владислав Євгенович,УДАР,23/07/2024,,,,
Банас Дмитро Миколайович,УДАР,23/07/2024,,,,
Білоцерковець Дмитро Олександрович,УДАР,23/07/2024,,,,
Гончаров Володимир Валентинович,УДАР,23/07/2024,,,,
Гончаров Олександр Володимирович,УДАР,23/07/2024,,,,
